"","Variable","Unit","Detailed.description","Enter.label.here","Max.40.char","file"
"1","ID",NA,"Subject identifier","Subject identifier",18,"patab.csv"
"2","TIME",NA,"Time","Time",4,"patab.csv"
"3","EVID",NA,"Even identifier","Even identifier",15,"patab.csv"
"4","EVID",NA,"EVID","EVID",4,"patab.csv"
"5","AMT",NA,"Amount administer","Amount administer",17,"patab.csv"
"6","AMT",NA,"AMT","AMT",3,"patab.csv"
"7","MDV",NA,"Missing dependent variable","Missing dependent variable",26,"patab.csv"
"8","MDV",NA,"MDV","MDV",3,"patab.csv"
"9","DV",NA,"Dependent variable","Dependent variable",18,"patab.csv"
"10","DV",NA,"DV","DV",2,"patab.csv"
"11","PRED",NA,"Population prected response","Population prected response",27,"patab.csv"
"12","RES",NA,"Residual error","Residual error",14,"patab.csv"
"13","WRES",NA,"Weighted residual error","Weighted residual error",23,"patab.csv"
"14","IPRED",NA,"Individual prected response","Individual prected response",27,"patab.csv"
"15","CWRES",NA,"Conditional weighted residual error","Conditional weighted residual error",35,"patab.csv"
"16","IRES",NA,"Individual residual error","Individual residual error",25,"patab.csv"
"17","FORM",NA,"Formulation","Formulation",11,"patab.csv"
"18","FORM",NA,"FORM","FORM",4,"patab.csv"
"19","FAST",NA,"Fasted condition","Fasted condition",16,"patab.csv"
"20","FAST",NA,"FAST","FAST",4,"patab.csv"
"21","AGE",NA,"Age","Age",3,"patab.csv"
"22","AGE",NA,"AGE","AGE",3,"patab.csv"
"23","SEX",NA,"Sex","Sex",3,"patab.csv"
"24","SEX",NA,"SEX","SEX",3,"patab.csv"
"25","RACE",NA,"Race","Race",4,"patab.csv"
"26","RACE",NA,"RACE","RACE",4,"patab.csv"
"27","COUNTRY",NA,"Country","Country",7,"patab.csv"
"28","COUNTRY",NA,"COUNTRY","COUNTRY",7,"patab.csv"
"29","BHT",NA,"Baseline height","Baseline height",15,"patab.csv"
"30","BHT",NA,"BHT","BHT",3,"patab.csv"
"31","BWT",NA,"Baseline weight","Baseline weight",15,"patab.csv"
"32","BWT",NA,"BWT","BWT",3,"patab.csv"
"33","BBSA",NA,"Baseline body surface area","Baseline body surface area",26,"patab.csv"
"34","BBSA",NA,"BBSA","BBSA",4,"patab.csv"
"35","BBMI",NA,"Baseline body massindex","Baseline body massindex",23,"patab.csv"
"36","BBMI",NA,"BBMI","BBMI",4,"patab.csv"
"37","BALB",NA,"Baseline albumine","Baseline albumine",17,"patab.csv"
"38","BALB",NA,"BALB","BALB",4,"patab.csv"
"39","ALB",NA,"Albumine","Albumine",8,"patab.csv"
"40","ALB",NA,"ALB","ALB",3,"patab.csv"
"41","BALP",NA,"Baseline alkaline phosphatase","Baseline alkaline phosphatase",29,"patab.csv"
"42","BALP",NA,"BALP","BALP",4,"patab.csv"
"43","ALP",NA,"Alkaline phosphatase","Alkaline phosphatase",20,"patab.csv"
"44","ALP",NA,"ALP","ALP",3,"patab.csv"
"45","BALT",NA,"Baseline alanine aminotransferase","Baseline alanine aminotransferase",33,"patab.csv"
"46","BALT",NA,"BALT","BALT",4,"patab.csv"
"47","ALT",NA,"Alanine aminotransferase","Alanine aminotransferase",24,"patab.csv"
"48","ALT",NA,"ALT","ALT",3,"patab.csv"
"49","BAST",NA,"Baseline aspartate aminotransferase","Baseline aspartate aminotransferase",35,"patab.csv"
"50","BAST",NA,"BAST","BAST",4,"patab.csv"
"51","AST",NA,"Aspartate aminotransferase","Aspartate aminotransferase",26,"patab.csv"
"52","AST",NA,"AST","AST",3,"patab.csv"
"53","BBILI",NA,"Baseline bilirubin","Baseline bilirubin",18,"patab.csv"
"54","BBILI",NA,"BBILI","BBILI",5,"patab.csv"
"55","BILI",NA,"bilirubin","bilirubin",9,"patab.csv"
"56","BILI",NA,"BILI","BILI",4,"patab.csv"
"57","BCREAT",NA,"Baseline creatinine","Baseline creatinine",19,"patab.csv"
"58","BCREAT",NA,"BCREAT","BCREAT",6,"patab.csv"
"59","CREAT",NA,"Creatinine","Creatinine",10,"patab.csv"
"60","CREAT",NA,"CREAT","CREAT",5,"patab.csv"
"61","BCRCL",NA,"Baseline creatinine clearance","Baseline creatinine clearance",29,"patab.csv"
"62","BCRCL",NA,"BCRCL","BCRCL",5,"patab.csv"
"63","CRCL",NA,"Creatinine clearance","Creatinine clearance",20,"patab.csv"
"64","CRCL",NA,"CRCL","CRCL",4,"patab.csv"
"65","BEGFR",NA,"Baseline estimated glomerular filtration rate","Baseline estimated glomerular filtration rate",45,"patab.csv"
"66","BEGFR",NA,"BEGFR","BEGFR",5,"patab.csv"
"67","EGFR",NA,"Estimated glomerular filtration rate","Estimated glomerular filtration rate",36,"patab.csv"
"68","EGFR",NA,"EGFR","EGFR",4,"patab.csv"
"69","TULOC",NA,"Tumor location","Tumor location",14,"patab.csv"
"70","TULOC",NA,"TULOC","TULOC",5,"patab.csv"
"71","TUTYPE",NA,"tutype","tutype",6,"patab.csv"
"72","TUTYPE",NA,"TUTYPE","TUTYPE",6,"patab.csv"
"73","ECOG",NA,"ecog","ecog",4,"patab.csv"
"74","ECOG",NA,"ECOG","ECOG",4,"patab.csv"
"75","PPI",NA,"ppi","ppi",3,"patab.csv"
"76","PPI",NA,"PPI","PPI",3,"patab.csv"
"77","CYPINH",NA,"cypinh","cypinh",6,"patab.csv"
"78","CYPINH",NA,"CYPINH","CYPINH",6,"patab.csv"
"79","CYPIND",NA,"cypind","cypind",6,"patab.csv"
"80","CYPIND",NA,"CYPIND","CYPIND",6,"patab.csv"
"81","BHEPIMP",NA,"bhepimp","bhepimp",7,"patab.csv"
"82","BHEPIMP",NA,"BHEPIMP","BHEPIMP",7,"patab.csv"
"83","HEPIMP",NA,"hepimp","hepimp",6,"patab.csv"
"84","HEPIMP",NA,"HEPIMP","HEPIMP",6,"patab.csv"
"85","BRIMPC",NA,"brimpc","brimpc",6,"patab.csv"
"86","BRIMPC",NA,"BRIMPC","BRIMPC",6,"patab.csv"
"87","RIMPC",NA,"rimpc","rimpc",5,"patab.csv"
"88","RIMPC",NA,"RIMPC","RIMPC",5,"patab.csv"
"89","BRIMPE",NA,"brimpe","brimpe",6,"patab.csv"
"90","BRIMPE",NA,"BRIMPE","BRIMPE",6,"patab.csv"
"91","RIMPE",NA,"rimpe","rimpe",5,"patab.csv"
"92","RIMPE",NA,"RIMPE","RIMPE",5,"patab.csv"
"93","ETA1",NA,"eta1","eta1",4,"patab.csv"
"94","ETA2",NA,"eta2","eta2",4,"patab.csv"
"95","ETA3",NA,"eta3","eta3",4,"patab.csv"
"96","ETA4",NA,"eta4","eta4",4,"patab.csv"
"97","X.ID",NA,"X.ID","X.ID",4,"pkdata.csv"
"98","DV",NA,"Dependent variable","Dependent variable",18,"pkdata.csv"
"99","DV",NA,"DV","DV",2,"pkdata.csv"
"100","LNDV",NA,"LNDV","LNDV",4,"pkdata.csv"
"101","AMT",NA,"Amount administer","Amount administer",17,"pkdata.csv"
"102","AMT",NA,"AMT","AMT",3,"pkdata.csv"
"103","EVID",NA,"Even identifier","Even identifier",15,"pkdata.csv"
"104","EVID",NA,"EVID","EVID",4,"pkdata.csv"
"105","MDV",NA,"Missing dependent variable","Missing dependent variable",26,"pkdata.csv"
"106","MDV",NA,"MDV","MDV",3,"pkdata.csv"
"107","RTIME",NA,"RTIME","RTIME",5,"pkdata.csv"
"108","FORM",NA,"Formulation","Formulation",11,"pkdata.csv"
"109","FORM",NA,"FORM","FORM",4,"pkdata.csv"
"110","FAST",NA,"Fasted condition","Fasted condition",16,"pkdata.csv"
"111","FAST",NA,"FAST","FAST",4,"pkdata.csv"
"112","AGE",NA,"Age","Age",3,"pkdata.csv"
"113","AGE",NA,"AGE","AGE",3,"pkdata.csv"
"114","SEX",NA,"Sex","Sex",3,"pkdata.csv"
"115","SEX",NA,"SEX","SEX",3,"pkdata.csv"
"116","RACE",NA,"Race","Race",4,"pkdata.csv"
"117","RACE",NA,"RACE","RACE",4,"pkdata.csv"
"118","COUNTRY",NA,"Country","Country",7,"pkdata.csv"
"119","COUNTRY",NA,"COUNTRY","COUNTRY",7,"pkdata.csv"
"120","BHT",NA,"Baseline height","Baseline height",15,"pkdata.csv"
"121","BHT",NA,"BHT","BHT",3,"pkdata.csv"
"122","BWT",NA,"Baseline weight","Baseline weight",15,"pkdata.csv"
"123","BWT",NA,"BWT","BWT",3,"pkdata.csv"
"124","BBSA",NA,"Baseline body surface area","Baseline body surface area",26,"pkdata.csv"
"125","BBSA",NA,"BBSA","BBSA",4,"pkdata.csv"
"126","BBMI",NA,"Baseline body massindex","Baseline body massindex",23,"pkdata.csv"
"127","BBMI",NA,"BBMI","BBMI",4,"pkdata.csv"
"128","BALB",NA,"Baseline albumine","Baseline albumine",17,"pkdata.csv"
"129","BALB",NA,"BALB","BALB",4,"pkdata.csv"
"130","ALB",NA,"Albumine","Albumine",8,"pkdata.csv"
"131","ALB",NA,"ALB","ALB",3,"pkdata.csv"
"132","BALP",NA,"Baseline alkaline phosphatase","Baseline alkaline phosphatase",29,"pkdata.csv"
"133","BALP",NA,"BALP","BALP",4,"pkdata.csv"
"134","ALP",NA,"Alkaline phosphatase","Alkaline phosphatase",20,"pkdata.csv"
"135","ALP",NA,"ALP","ALP",3,"pkdata.csv"
"136","BALT",NA,"Baseline alanine aminotransferase","Baseline alanine aminotransferase",33,"pkdata.csv"
"137","BALT",NA,"BALT","BALT",4,"pkdata.csv"
"138","ALT",NA,"Alanine aminotransferase","Alanine aminotransferase",24,"pkdata.csv"
"139","ALT",NA,"ALT","ALT",3,"pkdata.csv"
