"SAS Variable","SAS Label","Type","Code/Range","Unit","Detailed.description"
"ID","Subject identifier","Num","1 - 273",NA,"Subject identifier"
"TIME","Time","Num","0 - 11592",NA,"Time"
"EVID","Even identifier","Num","0 - 1",NA,"Even identifier"
"AMT","Amount administer","Num","0 - 90",NA,"Amount administer"
"MDV","Missing dependent variable","Num","0 - 1",NA,"Missing dependent variable"
"DV","Dependent variable","Num","0 - 447",NA,"Dependent variable"
"PRED","Population prected response","Num","0 - 104.88",NA,"Population prected response"
"RES","Residual error","Num","-96.493 - 442.16",NA,"Residual error"
"WRES","Weighted residual error","Num","-20.387 - 151.89",NA,"Weighted residual error"
"IPRED","Individual prected response","Num","0 - 147.86",NA,"Individual prected response"
"CWRES","Conditional weighted residual error","Num","-3.537 - 7.5856",NA,"Conditional weighted residual error"
"IRES","Individual residual error","Num","-143.13 - 312.68",NA,"Individual residual error"
"FORM","Formulation","Num","1 - 1",NA,"Formulation"
"FAST","Fasted condition","Num","-999 - 1",NA,"Fasted condition"
"AGE","Age","Num","30 - 87",NA,"Age"
"SEX","Sex","Num","1 - 2",NA,"Sex"
"RACE","Race","Num","-999 - 9",NA,"Race"
"COUNTRY","Country","Num","1 - 385",NA,"Country"
"BHT","Baseline height","Num","145 - 193.04",NA,"Baseline height"
"BWT","Baseline weight","Num","40.8 - 129.5",NA,"Baseline weight"
"BBSA","Baseline body surface area","Num","1.34 - 2.48",NA,"Baseline body surface area"
"BBMI","Baseline body massindex","Num","14.53 - 44.23",NA,"Baseline body massindex"
"BALB","Baseline albumine","Num","-999 - 5.2",NA,"Baseline albumine"
"ALB","Albumine","Num","-999 - 5.2",NA,"Albumine"
"BALP","Baseline alkaline phosphatase","Num","0 - 2167",NA,"Baseline alkaline phosphatase"
"ALP","Alkaline phosphatase","Num","0 - 2167",NA,"Alkaline phosphatase"
"BALT","Baseline alanine aminotransferase","Num","0 - 350",NA,"Baseline alanine aminotransferase"
"ALT","Alanine aminotransferase","Num","0 - 540",NA,"Alanine aminotransferase"
"BAST","Baseline aspartate aminotransferase","Num","0 - 551",NA,"Baseline aspartate aminotransferase"
"AST","Aspartate aminotransferase","Num","0 - 790",NA,"Aspartate aminotransferase"
"BBILI","Baseline bilirubin","Num","0 - 2.925",NA,"Baseline bilirubin"
"BILI","Bilirubin","Num","0 - 6.2",NA,"bilirubin"
"BCREAT","Baseline creatinine","Num","0 - 1.8419",NA,"Baseline creatinine"
"CREAT","Creatinine","Num","0 - 2.2035",NA,"Creatinine"
"BCRCL","Baseline creatinine clearance","Num","0 - 402.03",NA,"Baseline creatinine clearance"
"CRCL","Creatinine clearance","Num","0 - 402.03",NA,"Creatinine clearance"
"BEGFR","Baseline estimated glomerular filtration rate","Num","0 - 300.17",NA,"Baseline estimated glomerular filtration rate"
"EGFR","Estimated glomerular filtration rate","Num","0 - 300.17",NA,"Estimated glomerular filtration rate"
"TULOC","Tumor location","Num","0 - 27",NA,"Tumor location"
"TUTYPE","Tutype","Num","0 - 27",NA,"tutype"
"ECOG","Ecog","Num","-99 - 2",NA,"ecog"
"PPI","Ppi","Num","0 - 1",NA,"ppi"
"CYPINH","Cypinh","Num","0 - 1",NA,"cypinh"
"CYPIND","Cypind","Num","0 - 1",NA,"cypind"
"BHEPIMP","Bhepimp","Num","0 - 2",NA,"bhepimp"
"HEPIMP","Hepimp","Num","0 - 3",NA,"hepimp"
"BRIMPC","Brimpc","Num","0 - 2",NA,"brimpc"
"RIMPC","Rimpc","Num","0 - 3",NA,"rimpc"
"BRIMPE","Brimpe","Num","0 - 2",NA,"brimpe"
"RIMPE","Rimpe","Num","0 - 3",NA,"rimpe"
"ETA1","Eta1","Num","-2.2429 - 1.4264",NA,"eta1"
"ETA2","Eta2","Num","-1.944 - 3.0459",NA,"eta2"
"ETA3","Eta3","Num","-4.7383 - 1.3242",NA,"eta3"
"ETA4","Eta4","Num","-1.7448 - 1.5899",NA,"eta4"
