"SAS Variable","SAS Label","Type","Code/Range","Unit","Detailed.description"
"REMOVED","Dependent variable",NA,NA,NA,"Dependent variable"
"DV","LNDV","Num","0 - 447",NA,"LNDV"
"LNDV","Amount administer","Num","-999 - 6.10256",NA,"Amount administer"
"AMT","Even identifier","Num","2 - 90",NA,"Even identifier"
"EVID","Missing dependent variable","Num","0 - 1",NA,"Missing dependent variable"
"MDV","RTIME","Num","0 - 1",NA,"RTIME"
"RTIME","Formulation","Num","0 - 11592.3",NA,"Formulation"
"FORM","Fasted condition","Num","1 - 1",NA,"Fasted condition"
"FAST","Age","Num","-999 - 1",NA,"Age"
"AGE","Sex","Num","30 - 87",NA,"Sex"
"SEX","Race","Num","1 - 2",NA,"Race"
"RACE","Country","Num","-999 - 9",NA,"Country"
"COUNTRY","Baseline height","Num","1 - 385",NA,"Baseline height"
"BHT","Baseline weight","Num","145 - 193.04",NA,"Baseline weight"
"BWT","Baseline body surface area","Num","40.8 - 129.501",NA,"Baseline body surface area"
"BBSA","Baseline body massindex","Num","1.34 - 2.48",NA,"Baseline body massindex"
"BBMI","Baseline albumine","Num","14.53 - 44.23",NA,"Baseline albumine"
"BALB","Albumine","Num","-999 - 5.2",NA,"Albumine"
"ALB","Baseline alkaline phosphatase","Num","-999 - 5.2",NA,"Baseline alkaline phosphatase"
"BALP","Alkaline phosphatase","Num","7.6 - 2167",NA,"Alkaline phosphatase"
"ALP","Baseline alanine aminotransferase","Num","0 - 2167",NA,"Baseline alanine aminotransferase"
"BALT","Alanine aminotransferase","Num","7 - 350",NA,"Alanine aminotransferase"
"ALT","Baseline aspartate aminotransferase","Num","7 - 540",NA,"Baseline aspartate aminotransferase"
"BAST","Aspartate aminotransferase","Num","5 - 551",NA,"Aspartate aminotransferase"
"AST","Baseline bilirubin","Num","5 - 790",NA,"Baseline bilirubin"
"BBILI","Bilirubin","Num","0.1 - 2.925",NA,"bilirubin"
"BILI","Baseline creatinine","Num","0.1 - 6.2",NA,"Baseline creatinine"
"BCREAT","Creatinine","Num","0.3 - 1.8419",NA,"Creatinine"
"CREAT","Baseline creatinine clearance","Num","0.3 - 2.2035",NA,"Baseline creatinine clearance"
"BCRCL","Creatinine clearance","Num","33.221 - 402.029",NA,"Creatinine clearance"
"CRCL","Baseline estimated glomerular filtration rate","Num","29.3271 - 402.029",NA,"Baseline estimated glomerular filtration rate"
"BEGFR","Estimated glomerular filtration rate","Num","30.15 - 300.165",NA,"Estimated glomerular filtration rate"
"EGFR","Tumor location","Num","24.55 - 300.165",NA,"Tumor location"
"TULOC","Tutype","Num","1 - 27",NA,"tutype"
"TUTYPE","Ecog","Num","1 - 27",NA,"ecog"
"ECOG","Ppi","Num","-99 - 2",NA,"ppi"
"PPI","Cypinh","Num","0 - 1",NA,"cypinh"
"CYPINH","Cypind","Num","0 - 1",NA,"cypind"
"CYPIND","Bhepimp","Num","0 - 1",NA,"bhepimp"
"BHEPIMP","Hepimp","Num","0 - 2",NA,"hepimp"
"HEPIMP","Brimpc","Num","0 - 3",NA,"brimpc"
"BRIMPC","Rimpc","Num","0 - 2",NA,"rimpc"
"RIMPC","Brimpe","Num","0 - 3",NA,"brimpe"
"BRIMPE","Rimpe","Num","0 - 2",NA,"rimpe"
"RIMPE","","Num","0 - 3",NA,NA
