"","Variable","Unit","Detailed.description","Enter.label.here","Max.40.char","file"
"1","X.ID",NA,"X.ID","X.ID",4,"pkdata.csv"
"2","DV",NA,"Dependent variable","Dependent variable",18,"pkdata.csv"
"3","LNDV",NA,"LNDV","LNDV",4,"pkdata.csv"
"4","AMT",NA,"Amount administer","Amount administer",17,"pkdata.csv"
"5","EVID",NA,"Even identifier","Even identifier",15,"pkdata.csv"
"6","MDV",NA,"Missing dependent variable","Missing dependent variable",26,"pkdata.csv"
"7","RTIME",NA,"RTIME","RTIME",5,"pkdata.csv"
"8","FORM",NA,"Formulation","Formulation",11,"pkdata.csv"
"9","FAST",NA,"Fasted condition","Fasted condition",16,"pkdata.csv"
"10","AGE",NA,"Age","Age",3,"pkdata.csv"
"11","SEX",NA,"Sex","Sex",3,"pkdata.csv"
"12","RACE",NA,"Race","Race",4,"pkdata.csv"
"13","COUNTRY",NA,"Country","Country",7,"pkdata.csv"
"14","BHT",NA,"Baseline height","Baseline height",15,"pkdata.csv"
"15","BWT",NA,"Baseline weight","Baseline weight",15,"pkdata.csv"
"16","BBSA",NA,"Baseline body surface area","Baseline body surface area",26,"pkdata.csv"
"17","BBMI",NA,"Baseline body massindex","Baseline body massindex",23,"pkdata.csv"
"18","BALB",NA,"Baseline albumine","Baseline albumine",17,"pkdata.csv"
"19","ALB",NA,"Albumine","Albumine",8,"pkdata.csv"
"20","BALP",NA,"Baseline alkaline phosphatase","Baseline alkaline phosphatase",29,"pkdata.csv"
"21","ALP",NA,"Alkaline phosphatase","Alkaline phosphatase",20,"pkdata.csv"
"22","BALT",NA,"Baseline alanine aminotransferase","Baseline alanine aminotransferase",33,"pkdata.csv"
"23","ALT",NA,"Alanine aminotransferase","Alanine aminotransferase",24,"pkdata.csv"
"24","BAST",NA,"Baseline aspartate aminotransferase","Baseline aspartate aminotransferase",35,"pkdata.csv"
"25","AST",NA,"Aspartate aminotransferase","Aspartate aminotransferase",26,"pkdata.csv"
"26","BBILI",NA,"Baseline bilirubin","Baseline bilirubin",18,"pkdata.csv"
"27","BILI",NA,"bilirubin","bilirubin",9,"pkdata.csv"
"28","BCREAT",NA,"Baseline creatinine","Baseline creatinine",19,"pkdata.csv"
"29","CREAT",NA,"Creatinine","Creatinine",10,"pkdata.csv"
"30","BCRCL",NA,"Baseline creatinine clearance","Baseline creatinine clearance",29,"pkdata.csv"
"31","CRCL",NA,"Creatinine clearance","Creatinine clearance",20,"pkdata.csv"
"32","BEGFR",NA,"Baseline estimated glomerular filtration rate","Baseline estimated glomerular filtration rate",45,"pkdata.csv"
"33","EGFR",NA,"Estimated glomerular filtration rate","Estimated glomerular filtration rate",36,"pkdata.csv"
"34","TULOC",NA,"Tumor location","Tumor location",14,"pkdata.csv"
"35","TUTYPE",NA,"tutype","tutype",6,"pkdata.csv"
"36","ECOG",NA,"ecog","ecog",4,"pkdata.csv"
"37","PPI",NA,"ppi","ppi",3,"pkdata.csv"
"38","CYPINH",NA,"cypinh","cypinh",6,"pkdata.csv"
"39","CYPIND",NA,"cypind","cypind",6,"pkdata.csv"
"40","BHEPIMP",NA,"bhepimp","bhepimp",7,"pkdata.csv"
"41","HEPIMP",NA,"hepimp","hepimp",6,"pkdata.csv"
"42","BRIMPC",NA,"brimpc","brimpc",6,"pkdata.csv"
"43","RIMPC",NA,"rimpc","rimpc",5,"pkdata.csv"
"44","BRIMPE",NA,"brimpe","brimpe",6,"pkdata.csv"
"45","RIMPE",NA,"rimpe","rimpe",5,"pkdata.csv"
