TABLE NO.  1
 ID          AMT         DV          PRED        RES         WRES
  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+00  4.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+00  0.0000E+00  2.0720E+00  1.2038E+00  8.6824E-01  9.9027E-01
  1.0000E+00  0.0000E+00  1.0360E+00  1.6781E+00 -6.4212E-01 -8.5066E-01
  1.0000E+00  0.0000E+00  9.0100E-01  1.6667E+00 -7.6569E-01 -8.6455E-01
  1.0000E+00  0.0000E+00  9.2700E-01  1.2960E+00 -3.6902E-01 -3.9914E-01
  1.0000E+00  0.0000E+00  1.2010E+00  9.5466E-01  2.4634E-01  6.2781E-01
  1.0000E+00  0.0000E+00  5.9900E-01  3.7634E-01  2.2266E-01 -4.0276E-01
  1.0000E+00  0.0000E+00  1.0760E+00  3.4448E-01  7.3152E-01  2.4323E+00
  1.0000E+00  0.0000E+00  9.2200E-01  3.1872E-01  6.0328E-01  2.0313E+00
  1.0000E+00  0.0000E+00  7.7900E-01  2.9457E-01  4.8443E-01  1.5900E+00
  1.0000E+00  0.0000E+00  4.7100E-01  2.7255E-01  1.9845E-01 -1.3881E-01
  1.0000E+00  0.0000E+00  5.3100E-01  2.5169E-01  2.7931E-01  6.2516E-01
  1.0000E+00  0.0000E+00  3.6400E-01  2.3319E-01  1.3081E-01 -3.9171E-01
  1.0000E+00  0.0000E+00  1.1500E-01  7.7609E-02  3.7391E-02  1.4417E-01
  1.0000E+00  4.0000E+00  0.0000E+00  7.7588E-02  0.0000E+00  0.0000E+00
  1.0000E+00  0.0000E+00  2.4740E+00  1.2811E+00  1.1929E+00  1.3745E+00
  1.0000E+00  0.0000E+00  1.4480E+00  1.7552E+00 -3.0721E-01 -4.8516E-01
  1.0000E+00  0.0000E+00  2.1380E+00  1.7433E+00  3.9472E-01  4.4733E-01
  1.0000E+00  0.0000E+00  1.0760E+00  1.3721E+00 -2.9610E-01 -3.0878E-01
  1.0000E+00  0.0000E+00  1.1420E+00  1.0302E+00  1.1175E-01  3.0193E-01
  1.0000E+00  0.0000E+00  1.0630E+00  4.4743E-01  6.1557E-01  1.2895E+00
  1.0000E+00  0.0000E+00  6.4700E-01  4.1101E-01  2.3599E-01 -2.8801E-01
  1.0000E+00  0.0000E+00  5.4200E-01  3.8007E-01  1.6193E-01 -5.5206E-01
  1.0000E+00  0.0000E+00  5.9600E-01  3.5147E-01  2.4453E-01 -9.5958E-03
  1.0000E+00  0.0000E+00  2.8900E-01  3.2475E-01 -3.5747E-02 -1.5075E+00
  1.0000E+00  0.0000E+00  4.6000E-01  3.0055E-01  1.5945E-01 -2.5915E-01
  1.0000E+00  0.0000E+00  8.8500E-01  2.7732E-01  6.0768E-01  2.8455E+00
  2.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0000E+00  3.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0000E+00  0.0000E+00  1.5430E+00  5.4179E-01  1.0012E+00  2.4092E+00
  2.0000E+00  0.0000E+00  1.3540E+00  9.0282E-01  4.5118E-01  3.7416E-01
  2.0000E+00  0.0000E+00  9.4300E-01  1.2586E+00 -3.1559E-01 -7.4541E-01
  2.0000E+00  0.0000E+00  8.7200E-01  1.2500E+00 -3.7802E-01 -5.6513E-01
  2.0000E+00  0.0000E+00  5.7700E-01  9.7201E-01 -3.9501E-01 -4.8659E-01
  2.0000E+00  0.0000E+00  6.6500E-01  7.1599E-01 -5.0994E-02  3.2122E-01
  2.0000E+00  0.0000E+00  4.6700E-01  2.8226E-01  1.8474E-01  2.6793E-01
  2.0000E+00  0.0000E+00  3.2200E-01  2.5850E-01  6.3502E-02 -5.7872E-01
  2.0000E+00  0.0000E+00  7.1300E-01  2.3904E-01  4.7396E-01  2.7211E+00
  2.0000E+00  0.0000E+00  3.5900E-01  2.0441E-01  1.5459E-01  4.0853E-01
  2.0000E+00  0.0000E+00  3.2700E-01  1.7480E-01  1.5220E-01  6.4895E-01
  2.0000E+00  0.0000E+00  2.2300E-01  1.3822E-01  8.4778E-02  2.0307E-01
  3.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.0000E+00  2.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.0000E+00  0.0000E+00  9.2100E-01  3.6119E-01  5.5981E-01  1.9115E+00
  3.0000E+00  0.0000E+00  1.0720E+00  6.0188E-01  4.7012E-01  7.6061E-01
  3.0000E+00  0.0000E+00  1.0640E+00  8.3906E-01  2.2494E-01 -3.1813E-02
  3.0000E+00  0.0000E+00  9.0200E-01  8.3335E-01  6.8654E-02 -3.2110E-01
  3.0000E+00  0.0000E+00  9.7200E-01  6.4801E-01  3.2399E-01  4.6059E-01
  3.0000E+00  0.0000E+00  7.0900E-01  4.7733E-01  2.3167E-01  2.6393E-01
  3.0000E+00  0.0000E+00  6.3600E-01  1.8817E-01  4.4783E-01  1.2700E+00
  3.0000E+00  0.0000E+00  3.7900E-01  1.7233E-01  2.0667E-01 -1.0546E+00
  3.0000E+00  0.0000E+00  9.7000E-01  1.5936E-01  8.1064E-01  6.2579E+00
  3.0000E+00  0.0000E+00  7.8400E-01  1.3613E-01  6.4787E-01  5.6297E+00
  3.0000E+00  0.0000E+00  5.4800E-01  1.1631E-01  4.3169E-01  3.5929E+00
  3.0000E+00  0.0000E+00  1.0300E-01  9.2098E-02  1.0902E-02 -3.0517E+00
  3.0000E+00  0.0000E+00  0.0000E+00  3.9027E-02  0.0000E+00  0.0000E+00
  3.0000E+00  2.0000E+00  0.0000E+00  3.9016E-02  0.0000E+00  0.0000E+00
  3.0000E+00  0.0000E+00  5.2900E-01  4.0014E-01  1.2886E-01 -2.5665E-01
  3.0000E+00  0.0000E+00  8.8900E-01  6.4077E-01  2.4823E-01  2.8473E-02
  3.0000E+00  0.0000E+00  9.4800E-01  8.9206E-01  5.5938E-02 -4.4030E-01
  3.0000E+00  0.0000E+00  1.1220E+00  8.7186E-01  2.5014E-01  3.6235E-02
